open,high,low,close,Volume,Volume MA,Date
88.41,92.54,88.07,91.05,821687.52,1506556.309999997,2022-03-12
91.06,92.0,89.17,89.54,491902.66,1497243.043999997,2022-03-12
89.55,90.35,87.67,89.3,591210.87,1428374.648999997,2022-03-12
89.31,90.63,88.42,89.49,540779.38,1368164.031499997,2022-03-12
89.49,90.19,88.65,89.11,348218.48,1309817.135999997,2022-03-12
89.11,89.98,85.76,86.05,475329.46,1219105.5649999972,2022-03-12
86.04,88.42,85.35,87.93,552960.33,1135969.2889999968,2022-03-13
87.92,88.32,87.06,87.39,259424.79,1105698.404999997,2022-03-13
87.4,87.77,86.29,86.95,280392.95,1053887.5399999968,2022-03-13
86.94,92.78,86.36,91.13,1126283.38,1032567.4819999968,2022-03-13
91.12,91.64,88.71,88.87,635125.88,996884.2224999968,2022-03-13
88.86,89.25,85.34,87.38,858001.93,904991.4909999968,2022-03-13
87.37,90.22,86.63,89.88,744337.17,829419.8799999969,2022-03-14
89.88,91.64,89.43,90.78,658167.94,813640.8619999967,2022-03-14
90.78,94.8,90.73,92.8,1192446.37,796349.4154999967,2022-03-14
92.81,94.31,91.1,91.93,1101904.98,791937.3834999967,2022-03-14
91.91,92.53,89.61,91.2,725156.05,764251.9099999968,2022-03-14
91.21,94.98,89.95,94.87,774594.06,735301.5384999968,2022-03-14
94.86,95.84,92.77,93.35,837650.55,694927.5379999968,2022-03-15
93.34,94.22,91.32,91.62,468046.27,674181.0509999968,2022-03-15
91.61,91.85,90.25,91.29,605713.87,663382.3684999968,2022-03-15
91.27,92.36,88.58,91.38,1012423.98,689408.4344999968,2022-03-15
91.38,92.04,89.47,90.15,774876.88,698591.7349999968,2022-03-15
90.14,90.3,87.84,88.48,701845.16,706645.0239999968,2022-03-15
88.49,90.7,86.89,87.31,1399317.67,759199.9834999968,2022-03-16
87.3,88.57,86.88,87.89,374821.51,754174.5859999968,2022-03-16
87.87,90.66,87.72,89.94,554231.43,754238.1409999968,2022-03-16
89.94,90.11,87.07,87.45,571528.0,769843.3014999968,2022-03-16
87.44,89.59,86.0,89.35,1196487.75,815648.0414999968,2022-03-16
89.33,90.5,87.94,89.15,576547.13,788161.2289999968,2022-03-16
89.16,89.37,87.11,88.07,516174.48,782213.6589999968,2022-03-17
88.07,89.32,87.16,88.39,537330.06,766180.0654999969,2022-03-17
88.39,89.59,88.08,89.03,334883.89,745707.4014999969,2022-03-17
89.04,90.43,87.52,87.72,672800.78,746439.0434999969,2022-03-17
87.72,88.44,87.01,87.81,431573.1,708395.3799999969,2022-03-17
87.81,87.84,86.44,86.83,354250.41,671012.6514999968,2022-03-17
86.84,86.85,84.21,85.45,764730.14,672991.3559999968,2022-03-18
85.45,86.52,84.17,84.61,555077.49,662015.5274999968,2022-03-18
84.6,85.29,82.59,83.65,771420.44,658704.0219999967,2022-03-18
83.64,85.43,82.57,85.27,739953.07,672299.3619999967,2022-03-18
85.26,87.71,84.95,87.41,887081.31,686367.7339999968,2022-03-18
87.41,88.75,85.69,88.54,509730.79,661233.0744999967,2022-03-18
88.52,89.84,87.72,88.07,681769.73,656577.7169999967,2022-03-19
88.07,88.5,87.38,87.55,268673.2,634919.1189999967,2022-03-19
87.54,90.36,87.54,90.21,496676.54,589787.0624999966,2022-03-19
90.21,92.95,89.85,91.92,1014585.85,621775.2794999967,2022-03-19
91.92,92.5,90.91,92.31,473840.18,617755.7169999967,2022-03-19
92.32,93.58,91.51,92.11,520977.62,615228.1979999966,2022-03-19
92.11,92.32,90.66,91.59,346013.29,572704.4749999966,2022-03-20
91.63,93.12,91.09,92.74,272914.67,557522.8519999965,2022-03-20
92.73,94.47,92.33,92.82,648554.4,564141.8479999965,2022-03-20
92.83,93.1,90.36,90.65,517725.16,563161.6029999965,2022-03-20
90.65,91.88,89.67,91.04,422107.56,567522.7864999964,2022-03-20
91.03,92.2,90.31,90.62,314538.38,549609.6664999966,2022-03-20
90.63,94.66,90.33,94.15,761864.77,566124.2499999965,2022-03-21
94.15,95.72,93.19,95.6,754846.41,586154.0499999966,2022-03-21
95.6,97.16,95.31,95.4,716396.77,583737.3814999965,2022-03-21
95.4,95.95,93.86,95.66,667241.4,589345.5769999966,2022-03-21
95.66,97.77,94.33,95.8,902113.02,595880.2059999965,2022-03-21
95.8,96.5,94.83,95.76,417177.89,579741.4469999966,2022-03-21
95.76,96.51,93.94,94.93,646829.04,567728.8334999966,2022-03-22
94.94,95.16,93.05,93.53,780659.86,581275.2869999965,2022-03-22
