Date,open,high,low,close,Volume,mean_candle,label,action,%body,%upper-shadow,%lower-shadow,MA,trend
2022-05-22 08:00:00,2.558,2.683,2.541,2.578,496087.24,2.578,"['spanning top', 'inverse hammer']",None,0.14084507042253544,0.7394366197183102,0.11971830985915434,2.5949999999999998,0
2022-05-22 12:00:00,2.583,2.634,2.534,2.575,424168.25,2.575,['spanning top'],None,0.08,0.5099999999999967,0.4100000000000033,2.6027,0
2022-05-22 16:00:00,2.574,2.627,2.524,2.581,262704.95,2.581,[],None,0.06796116504854499,0.4466019417475721,0.4854368932038829,2.6029,0
2022-05-22 20:00:00,2.587,2.655,2.576,2.641,439071.34,2.641,[],None,0.6835443037974684,0.17721518987341567,0.13924050632911592,2.60045,0
2022-05-23 00:00:00,2.64,2.66,2.549,2.581,277828.87,2.581,[],None,0.531531531531532,0.18018018018018,0.288288288288288,2.6029999999999998,0
2022-05-23 04:00:00,2.582,2.644,2.565,2.61,372711.96,2.61,['spanning top'],None,0.35443037974683494,0.4303797468354452,0.2151898734177198,2.6002,0
2022-05-23 08:00:00,2.61,2.667,2.593,2.636,435119.9,2.636,['spanning top'],None,0.3513513513513554,0.4189189189189157,0.2297297297297289,2.5971,0
2022-05-23 12:00:00,2.636,2.742,2.58,2.658,751242.75,2.658,"['spanning top', 'three white soldiers']",None,0.1358024691358013,0.5185185185185193,0.3456790123456795,2.59835,0
2022-05-23 16:00:00,2.656,2.692,2.406,2.447,932213.53,2.447,['falling three methods'],None,0.730769230769231,0.12587412587412597,0.14335664335664308,2.586,0
2022-05-23 20:00:00,2.451,2.581,2.323,2.371,808016.4,2.371,['shooting star'],None,0.31007751937984523,0.5038759689922476,0.18604651162790714,2.5812,0
2022-05-24 00:00:00,2.37,2.597,2.33,2.446,583881.81,2.446,['inverse hammer'],None,0.28464419475655467,0.5655430711610482,0.1498127340823972,2.5743,0
2022-05-24 04:00:00,2.44,2.464,2.395,2.429,147891.32,2.429,"['spanning top', 'bearish harami']",None,0.15942028985507434,0.3478260869565223,0.4927536231884034,2.5646999999999998,0
2022-05-24 08:00:00,2.431,2.438,2.356,2.401,236699.28,2.401,['hanging man'],None,0.3658536585365871,0.0853658536585377,0.5487804878048752,2.556,0
2022-05-24 12:00:00,2.404,2.42,2.159,2.39,1082850.53,2.39,['three black crows'],None,0.05363984674329419,0.06130268199233719,0.8850574712643686,2.5443,0
2022-05-24 16:00:00,2.39,2.409,2.292,2.351,503619.2,2.351,"['three black crows', 'hanging man']",None,0.3333333333333346,0.1623931623931597,0.5042735042735057,2.53335,0
2022-05-24 20:00:00,2.352,2.437,2.33,2.394,301259.48,2.394,[],None,0.3925233644859846,0.40186915887850283,0.20560747663551257,2.52015,0
2022-05-25 00:00:00,2.395,2.446,2.35,2.401,356035.33,2.401,[],None,0.06249999999999769,0.46875000000000344,0.46874999999999883,2.50805,0
2022-05-25 04:00:00,2.403,2.416,2.294,2.313,387732.73,2.313,['bearish engulfing'],None,0.7377049180327864,0.10655737704917961,0.155737704918034,2.49395,0
2022-05-25 08:00:00,2.314,2.358,2.194,2.233,563535.43,2.233,[],None,0.4939024390243896,0.2682926829268293,0.23780487804878117,2.47975,0
2022-05-25 12:00:00,2.231,2.325,2.227,2.278,724990.85,2.278,[],None,0.4795918367346939,0.4795918367346939,0.04081632653061215,2.4657,0
2022-05-25 16:00:00,2.279,2.332,2.24,2.284,480293.26,2.284,[],None,0.05434782608695558,0.5217391304347851,0.4239130434782593,2.451,0
2022-05-25 20:00:00,2.286,2.313,2.254,2.26,208897.61,2.26,"['spanning top', 'bearish engulfing']",None,0.44067796610169785,0.4576271186440688,0.10169491525423334,2.43525,0
2022-05-26 00:00:00,2.262,2.299,2.225,2.243,211727.6,2.243,['spanning top'],None,0.256756756756759,0.5,0.24324324324324098,2.41835,0
2022-05-26 04:00:00,2.243,2.255,2.111,2.168,415755.88,2.168,['three black crows'],None,0.5208333333333326,0.08333333333333359,0.39583333333333376,2.3947,0
2022-05-26 08:00:00,2.167,2.245,1.993,2.068,1671488.64,2.068,['three black crows'],None,0.3928571428571419,0.3095238095238107,0.29761904761904745,2.36905,0
2022-05-26 12:00:00,2.069,2.279,1.983,2.264,1495928.21,2.264,[],None,0.6587837837837837,0.05067567567567613,0.29054054054054024,2.35175,0
2022-05-26 16:00:00,2.264,2.4,2.11,2.237,1362057.42,2.237,['spanning top'],None,0.09310344827586099,0.4689655172413797,0.43793103448275933,2.3318,0
2022-05-26 20:00:00,2.238,2.294,2.108,2.113,316495.61,2.113,[],None,0.6720430107526884,0.30107526881720464,0.026881720430106962,2.30455,0
2022-05-27 00:00:00,2.111,2.135,2.023,2.106,591101.47,2.106,[],None,0.044642857142860294,0.21428571428571117,0.7410714285714285,2.2875,0
2022-05-27 04:00:00,2.107,2.112,1.987,2.062,830123.16,2.062,['hanging man'],None,0.360000000000003,0.03999999999999915,0.5999999999999979,2.27205,0
2022-05-27 08:00:00,2.062,2.132,2.031,2.051,631725.52,2.051,"['spanning top', 'shooting star']",None,0.10891089108910573,0.693069306930696,0.19801980198019825,2.2523,0
2022-05-27 12:00:00,2.049,2.161,2.041,2.06,558790.57,2.06,"['spanning top', 'piercing line']",None,0.09166666666666759,0.8416666666666658,0.06666666666666667,2.23385,0
2022-05-27 16:00:00,2.063,2.097,1.98,2.081,607200.96,2.081,"['spanning top', 'hammer']",None,0.1538461538461521,0.13675213675213688,0.709401709401711,2.21785,0
2022-05-27 20:00:00,2.081,2.106,1.991,2.004,519391.1,2.004,['bearish engulfing'],None,0.6695652173913054,0.21739130434782575,0.11304347826086893,2.19855,0
2022-05-28 00:00:00,2.004,2.058,1.992,2.037,230635.6,2.037,[],None,0.5,0.31818181818181757,0.18181818181818243,2.1828499999999997,0
2022-05-28 04:00:00,2.036,2.1,2.024,2.063,268231.9,2.063,"['spanning top', 'inverse hammer']",None,0.3552631578947383,0.4868421052631564,0.15789473684210525,2.1663,0
2022-05-28 08:00:00,2.063,2.074,2.018,2.031,207720.44,2.031,['bearish engulfing'],None,0.5714285714285714,0.19642857142856548,0.2321428571428631,2.1478,0
2022-05-28 12:00:00,2.032,2.097,2.029,2.089,328172.38,2.089,[],None,0.8382352941176454,0.11764705882352941,0.04411764705882516,2.1366,0
2022-05-28 16:00:00,2.089,2.098,2.032,2.072,242222.36,2.072,"['spanning top', 'hanging man']",None,0.25757575757575674,0.13636363636363513,0.6060606060606081,2.1285499999999997,0
2022-05-28 20:00:00,2.07,2.088,2.042,2.075,141422.71,2.075,[],None,0.10869565217391976,0.2826086956521701,0.6086956521739101,2.1184,0
2022-05-29 00:00:00,2.072,2.074,2.001,2.035,137555.77,2.035,[],None,0.5068493150684924,0.027397260273969604,0.465753424657538,2.10595,0
2022-05-29 04:00:00,2.035,2.049,2.02,2.038,85681.35,2.038,[],None,0.10344827586205788,0.37931034482759146,0.5172413793103506,2.09485,0
2022-05-29 08:00:00,2.038,2.14,2.027,2.089,345894.57,2.089,[],None,0.45132743362832,0.45132743362832,0.09734513274335999,2.08715,0
